Clause_ID,Clause_Text,Category,Subcategory,Vulnerability_Level,Annotation_Notes,Key_Terms,Clause_Context,Policy_Type,Vulnerability_Score
C1010,"O Treatment in Valuable Service Providers - If the insured taken treatment in a hospital suggested by the Company, then the
2 (Q)
company will provide lump-sum payment calculated at 1% of Sum Insured subject to a maximum of Rs.5,000/-
P Shared Accommodation - If the Insured person occupies shared accommodation during in patient hospitalization, then a lump
2 ( R)
sum payment as stated will be payable
Q AYUSH Treatment - Inpatient Hospitalisation expenses incurred on treatment under Ayurveda, Unani, Sidha and Homeopathy
2 (S)
systems of medicines in a AYUSH Hospital is payable up to the limits.",Coverage,Reimbursement,Medium,"This clause pertains to the reimbursement conditions for treatment in valuable service providers, shared accommodation, and AYUSH treatment.","['Treatment', 'Valuable Service Providers', 'Company', 'Lump-sum payment', 'Sum Insured', 'Shared Accommodation', 'AYUSH Treatment', 'Inpatient Hospitalization', 'Ayurveda', 'Unani', 'Sidha', 'Homeopathy', 'Systems of medicines', 'AYUSH Hospital']",high Coverage,Health,3
C1011,"R Second Medical Opinion - The Insured Person is given the facility of obtaining a Second Medical Opinion from a Doctor in the
2 (T)
Company's network of Medical Practitioners
S Assisted Reproduction Treatment - The Company will reimburse medical expenses incurred on Assisted Reproduction
2 (U)
Treatment for sub-fertility
T Automatic Restoration of Sum Insured - Automatic restoration of sum insured three times during the currency of the policy
2 (V)
period upon exhaustion of the limit of coverage
U Recharge Benefit - If the limit of coverage under the policy is exhausted/ exceeded during the policy period, additional indemnity
2 (W)
up to the limits would be provided once for the remaining policy period.",Coverage,Additional Benefits,Low,"This clause outlines additional benefits provided by the insurance policy, such as second medical opinion, assisted reproduction treatment, automatic restoration of sum insured, and recharge benefit.","['Second Medical Opinion', ""Company's network of Medical Practitioners"", 'Assisted Reproduction Treatment', 'Sum Insured', 'Automatic Restoration', 'Exhaustion of the limit of coverage', 'Recharge Benefit', 'Additional indemnity']",moderate Coverage,Health,2
C1012,"V Additional Sum Insured for RTA (Road Traffic Accident) - If the insured person meets with a Road Traffic Accident resulting in
2 (X)
patient hospitalization, then the sum insured shall be increased by 25% subject to a maximum of Rs.5,00,000/-
W Coverage for Modern Treatment 2 (Y)
Family Health Optima Insurance Plan Unique Identification No.",Coverage,Additional Sum Insured,Medium,"The clause provides additional coverage for the insured person in case of a road traffic accident resulting in hospitalization, with a maximum increase of Rs. 5,00,000/- and a 25% increase.","['Road Traffic Accident', 'Hospitalization', 'Sum Insured', 'Increase', 'Maximum', 'Rs. 5,00,000/-', '25%']",high Coverage,Health,3
C1013,"Refer to Policy
Product Name Description
No.",Policy Details,Product Information,Low,"This clause refers to the policy's product name and description, but does not provide specific details.","['Policy', 'Product Name', 'Description']",low Coverage,Health,1
C1014,"Any hospital admission primarily for investigation diagnostic purpose 3(4)
II.",Coverage,Hospital Admission,Medium,This clause pertains to hospital admissions primarily for diagnostic purposes.,"['hospital admission', 'diagnostic purpose']",high Coverage,Health,3
C1015,"Pregnancy, infertility (except to the extent provided under coverage 1(U) 3(17) and 3(18)
III.",Coverage,Maternity,Medium,"This clause pertains to the coverage of pregnancy and infertility, with some exceptions mentioned.","['Pregnancy', 'Infertility', 'Coverage', 'Exceptions']",high Coverage,Health,3
C1016,"Domiciliary treatment, treatment outside India 4 (19)
IV.",Treatment,Domestic and International,Medium,This clause refers to the coverage for domiciliary treatment and treatment outside India.,"['Domiciliary treatment', 'Treatment outside India']",high Coverage,Health,3
C1017,"Circumcision, sex change surgery, cosmetic surgery & plastic surgery 3(7),3(8) and 3(19)
What are the
Major
2 V. Refractive error correction, hearing impairment correction, corrective & cosmetic dental surgeries 3(15) and 3(31)
Exclusions in
the policy
VI.",Medical Procedures,Specific Procedures,Medium,"This clause lists specific medical procedures covered under the policy, with some exclusions.","['Circumcision', 'Sex change surgery', 'Cosmetic surgery', 'Plastic surgery', 'Refractive error correction', 'Hearing impairment correction', 'Corrective dental surgeries']",high Exclusion,Health,3
C1018,"Substance abuse, self-inflicted injuries 3(12) and 3(22)
VII.",Exclusion,Health Conditions,High,This clause pertains to the exclusion of coverage for substance abuse and self-inflicted injuries as per sections 3(12) and 3(22),"['Substance abuse', 'self-inflicted injuries', '3(12)', '3(22)']",high Exclusion,Health,3
C1019,"Hazardous sports, war, terrorism, civil war or breach of law 3(10) and 3(24)
VIII.",Exclusion,Specified Events,High,"This clause excludes coverage for hazardous sports, war, terrorism, civil war, breach of law under sections 3(10) and 3(24), and any related events.","['Hazardous sports', 'war', 'terrorism', 'civil war', 'breach of law', '3(10)', '3(24)']",high Exclusion,Health,3
C1020,"Any kind of service charge, surcharge, admission fees, registration fees levied by the hospital.",Charges,Hospital Fees,Medium,"This clause specifies the types of fees that may be levied by a hospital, which could potentially impact the insured's out-of-pocket expenses.","['service charge', 'surcharge', 'admission fees', 'registration fees', 'hospital']",high Coverage,Health,3
C1021,"3(33)
(Note: the above is a partial listing of the policy exclusions.",Exclusion,General Policy Exclusions,Medium,"This clause provides a general statement about policy exclusions, but does not specify any specific exclusions.","['Exclusions', 'Partial listing']",high Exclusion,Health,3
C1022,"Please refer to the policy clauses for the full listing)
Initial waiting period 3 (3)
Waiting
3 Specific waiting period 3(2)
Periods
Pre-existing diseases 3(1)
Reimbursement of covered expenses up to specified limit
4 Payment basis 2 (A,B,C,F,I and Y)
Fixed amount on the occurrence of a covered event
In case of a claim, this policy requires you to share the following costs:
Expenses exceeding the followings
Sublimits
5 Loss Sharing 1.",Waiting Period,Specific Waiting Period,Medium,This clause specifies a specific waiting period for certain conditions.,"['Specific waiting period', '3(2)']",high Waiting Period,Health,3
C1023,"Room/ICU charges beyond ------------ 2 (A)
2.",Charges,ICU Charges,Medium,This clause pertains to charges incurred for ICU services beyond a certain limit.,"['ICU', 'charges', 'beyond']",high Coverage,Health,3
C1024,"For the following specified diseases: 2 (Y)
3.",Coverage,Specified Diseases,Medium,This clause specifies the diseases covered under the policy,"['2 (Y)', '3']",high Coverage,Health,3
C1025,"Deductible of Rs…… per claim / per year /both Nil
4.",Monetary,Deductible,Medium,"This clause specifies the amount of deductible for the policy, which could potentially impact the policyholder's out-of-pocket expenses.","['Deductible', 'Rs...', 'claim', 'per year', 'both', 'Nil']",high Monetary,Health,3
C1026,"20% of each and every claim as Co-payment 2 (AA)
Lifelong Renewal
Renewal
6 4(10)
Condition
Grace period of 120 days for renewing the policy is provided
Cumulative Bonus - 25% of the expiring Sum Insured in the second year and additional 10% of the expiring sum Insured for the
2 (Z)
Renewal subsequent years subject to a maximum of 100% in respect of a claim free year.",Coverage,Co-payment,Medium,This clause specifies the co-payment percentage for each claim.,"['Co-payment', '20%', 'claim']",high Coverage,Health,3
C1027,"7
Benefits
Expenses incurred towards cost of health check-up subject to maximum of Rs.3,500/- for every claim free year 2 (L)
8 Cancellation The Company may cancel the policy at any time on grounds of misrepresentation non-disclosure of material fact 4 (7)
For Cashless Service
9 Claims 4 (2(B and C))
For Reimbursement of claim
Policy Company Officials
Servicing / IRDAI/(IGMS/Call Centre):
10 4 (16) and 4 (22)
Grievances Ombudsman
/ Complaints (Note: Please provide the contact details Toll free number/e-mail)
Free Look 4 (15)
Implied renewability 4 (10)
Insured's
11 Migration and Portability 4(8) and 4(9)
Rights
Increase in SI during the Policy term Nil
Turn Around Time (TAT) for issue of Pre- Auth and settlement of Reimbursement 4 ((2(D))
Instalment
12 Instalment Option is available 4 (13)
Option
Please disclose all pre-existing disease/s or condition/s before buying a policy.",Coverage,Benefits,Low,This clause describes the maximum amount that will be covered for health check-ups in a claim-free year.,"['Benefits', 'Health check-up', 'Maximum', 'Rs.3,500/-', 'Claim free year']",low Coverage,Health,1
C1028,Non-disclosure may result in claim not being paid.,Exclusion,Claim Denial,High,This clause pertains to the conditions under which a claim may not be paid.,"['Non-disclosure', 'claim', 'paid']",high Exclusion,Health,3
C1029,"4 (1)
Insured's
13
Obligations Disclosure of Material Information during the policy period such as change in occupation (Note: If applicable, please provide details of
Not Applicable
the format & to whom the form is to be sent)
LEGAL DISCLAIMER NOTE: The information must be read in conjunction with the product brochure and policy document.",Disclosure,Change of Occupation Disclosure,Medium,This clause requires the insured to disclose any material changes in occupation during the policy period.,"['Insured', 'Material Information', 'Change in occupation', 'Policy period']",high Coverage,Health,3
C1030,"In case of any conflict between the Customer
Information Sheet and the policy document, the terms and conditions mentioned in the policy document shall prevail
Family Health Optima Insurance Plan Unique Identification No.",Coverage,Dispute Resolution,Medium,"This clause specifies the resolution of conflicts between the Customer Information Sheet and the policy document, favoring the terms in the policy document.","['Customer Information Sheet', 'Policy document', 'terms and conditions', 'conflict']",high Coverage,Health,3
C1031,"STAR HEALTH AND ALLIED INSURANCE COMPANY LIMITED
Regd.",Company Information,Company Name,Low,Company name mentioned in the clause,['STAR HEALTH AND ALLIED INSURANCE COMPANY LIMITED'],low Coverage,Health,1
C1032,": SHAHLIP21011V052122
The proposal, declaration and other documents given by the proposer shall be the basis of registered with the local authorities, wherever applicable, and is under supervision of a
this Contract and is deemed to be incorporated herein.",Coverage,Document Submission,Low,"This clause outlines the requirement for the proposer to submit documents for registration with local authorities, if applicable, and states that these documents are under the supervision of this contract.","['proposal', 'declaration', 'documents', 'local authorities', 'contract', 'registration', 'supervision']",moderate Coverage,Health,2
C1033,"registered and qualified medical practitioner AND must comply with all minimum criterion
In consideration of the premium paid, subject to the terms, conditions, exclusions and as under;
definitions contained herein the Company agrees as under.",Coverage,Provider Requirements,Medium,This clause specifies the requirement for a registered and qualified medical practitioner and compliance with minimum criteria.,"['registered medical practitioner', 'minimum criterion', 'premium', 'terms', 'conditions', 'exclusions']",high Coverage,Health,3
C1034,"i) has qualified nursing staff under its employment
If during the period stated in the Policy Schedule the insured person sustains bodily injury ii) has qualified medical practitioner/s in charge
or contracts any disease or suffer from any illness requiring Hospitalization and incurs iii) has fully equipped operation theatre of its own where surgical procedures are carried
expenses at any Nursing Home / Hospital in India as an In-patient, the Company will out
indemnify the Insured Person such expenses as are reasonably and necessarily incurred iv) maintains daily records of patients and will make these accessible to the insurance
under the Coverage but not exceeding the Limit of Coverage stated in the Policy schedule.",Coverage,Hospitalization,Medium,The clause outlines the conditions under which the company will provide indemnity for hospitalization expenses.,"['bodily injury', 'qualified nursing staff', 'qualified medical practitioner', 'Hospitalization', 'Nursing Home', 'Insured Person', 'Company', 'expenses', 'operation theatre', 'In-patient', 'Limit of Coverage', 'Policy schedule']",high Coverage,Health,3
C1035,"D E F I N I T I O N S Day Care Treatment: Day care treatment means medical treatment, and/or surgical
procedure which is;
STANDARD DEFINITION
i.",Definitions,Treatment Definitions,Low,This clause defines the term 'Day Care Treatment' in the context of health insurance.,"['Day Care Treatment', 'medical treatment', 'surgical procedure']",low Coverage,Health,1
C1036,"Undertaken under General or Local Anesthesia in a hospital/day care centre in less
Accident: An accident means sudden, unforeseen and involuntary event caused by than 24 hrs because of technological advancement, and
external, visible and violent means.",Coverage,Definitions,Low,The clause defines the term 'Accident' in the context of the health insurance policy.,"['Accident', 'General or Local Anesthesia', 'hospital/day care centre', 'sudden, unforeseen and involuntary event', 'technological advancement', 'external, visible and violent means']",low Coverage,Health,1
C1037,"which would have otherwise required hospitalization of more than 24 hours
Any one illness: Any one illness means continuous period of illness and includes relapse Treatment normally taken on an out-patient basis is not included in the scope of this
within 45 days from the date of last consultation with the Hospital/Nursing Home where definition
treatment was taken..",Exclusion,Hospitalization Duration,Medium,This clause specifies a condition for hospitalization duration that is not covered under the policy,"['hospitalization', 'more than 24 hours', 'Any one illness', 'Treatment normally taken on an out-patient basis']",high Exclusion,Health,3
C1038,"Dental treatment: Dental treatment means a treatment related to teeth or structures
AYUSH Hospital: An AYUSH Hospital is a healthcare facility wherein supporting teeth including examinations, fillings (where appropriate), crowns, extractions
medical/surgical/para-surgical treatment procedures and interventions are carried out by and surgery.",Coverage,Dental Treatment,Low,The clause defines the scope of dental treatment covered under the policy,"['Dental treatment', 'AYUSH Hospital', 'examinations', 'fillings', 'crowns', 'extractions', 'medical/surgical/para-surgical treatment procedures and interventions']",low Coverage,Health,1
C1039,"AYUSH Medical Practitioner(s) comprising of any of the following;
a.",Coverage,Professionals Covered,Low,This clause pertains to the professionals eligible for coverage under the health insurance policy.,"['AYUSH Medical Practitioner(s)', 'comprising', 'following']",low Coverage,Health,1
C1040,"Central or State Government AYUSH Hospital; or Disclosure to information norm: The policy shall be void and all premium paid thereon
shall be forfeited to the Company in the event of misrepresentation, mis-description or non-
b.",Exclusion,Misrepresentation or Mis-description,High,This clause pertains to the policy becoming void and premium forfeiture in case of misrepresentation or mis-description.,"['Central or State Government AYUSH Hospital', 'misrepresentation', 'mis-description', 'policy', 'void', 'premium paid', 'forfeited', 'Company']",high Exclusion,Health,3
C1041,"Teaching hospital attached to AYUSH College recognized by the Central
disclosure of any material fact.",Coverage,Disclosure,Low,"This clause pertains to the disclosure of material facts, which is a common requirement in insurance contracts.","['Teaching hospital', 'AYUSH College', 'Central', 'disclosure', 'material fact']",low Coverage,Health,1
C1042,"Government/Central Council of Indian Medicine/Central Council for Homeopathy; or
c. AYUSH Hospital, standalone or co-located with in-patient healthcare facility of any Domiciliary Hospitalization: Domiciliary hospitalization means medical treatment for an
recognized system of medicine, registered with the local authorities, wherever illness/disease/injury which in the normal course would require care and treatment at a
applicable, and is under the supervision of a qualified registered AYUSH Medical hospital but is actually taken while confined at home under any of the following
Practitioner and must comply with all the following criterion; circumstances;
i.",AYUSH Treatment,Domiciliary Hospitalization,Medium,This clause defines the conditions for domiciliary hospitalization under AYUSH treatment.,"['Government/Central Council of Indian Medicine/Central Council for Homeopathy', 'AYUSH Hospital', 'Domiciliary Hospitalization', 'Illness/Disease/Injury', 'Applicable', 'Qualified registered AYUSH Medical hospital', 'Domiciliary', 'Practitioner', 'Circumstances']",high Coverage,Health,3
C1043,"Having at least 5 in-patient beds i. the condition of the patient is such that he/she is not in a condition to be removed to a
ii.",Coverage,In-patient care,High,"This clause pertains to the minimum number of in-patient beds required for coverage, and the condition of the patient that would prevent removal.","['in-patient beds', 'condition', 'remove']",high Coverage,Health,3
C1044,"Having qualified AYUSH Medical Practitioner in charge round the clock hospital, or
iii.",Coverage,Hospital Services,Medium,This clause pertains to the availability of an AYUSH Medical Practitioner in the hospital,"['AYUSH Medical Practitioner', 'Hospital']",high Coverage,Health,3
C1045,Having dedicated AYUSH therapy sections as required and/or has equipped ii.,Coverage,Facilities,Low,Clause pertains to the availability of AYUSH therapy sections in the hospital network,"['AYUSH therapy sections', 'equipped']",moderate Coverage,Health,2
C1046,"the patient takes treatment at home on account of non-availability of room in a hospital
operation theatre where surgical procedures are to be carried out
Grace Period: Grace period means the specified period of time immediately following the
iv.",Coverage,Hospitalization,Medium,This clause pertains to the provision of coverage for home treatment when a hospital room is not available for surgical procedures.,"['patient', 'treatment', 'home', 'hospital', 'surgical procedures', 'grace period']",high Coverage,Health,3
C1047,"Maintaining daily records of the patients and making them accessible to the premium due date during which a payment can be made to renew or continue a policy in
insurance company's authorized representative force without loss of continuity benefits such as waiting periods and coverage of
AYUSH Day Care Centre: AYUSH Day Care Centre means and includes Community pre-existing diseases.",Coverage,Continuity Benefits,Medium,This clause pertains to the continuity of benefits such as waiting periods and coverage during the renewal of a policy.,"['daily records', 'premium due date', 'authorized representative', 'AYUSH Day Care Centre', 'community pre-existing diseases']",high Coverage,Health,3
C1048,"Coverage is not available for the period for which no premium is
Health Centre (CHC), Primary Health Centre (PHC), Dispensary, Clinic, Polyclinic or any received
such health centre which is registered with the local authorities, wherever applicable and Hospital: A hospital means any institution established for in-patient care and day care
having facilities for carrying out treatment procedures and medical or surgical/para- treatment of illness and/or injuries and which has been registered as a hospital with the
surgical interventions or both under the supervision of registered AYUSH Medical local authorities under Clinical Establishments (Registration and Regulation) Act 2010 or
Practitioner (s) on day care basis without in-patient services and must comply with all the under enactments specified under the Schedule of Section 56(1) of the said act Or
following criterion; complies with all minimum criteria as under:
i.",Coverage,Coverage Conditions,Medium,This clause specifies the types of health centers and hospitals that are covered under the insurance policy.,"['Coverage', 'Health Centre', 'Primary Health Centre', 'Dispensary', 'Clinic', 'Polyclinic', 'Hospital', 'Registered', 'local authorities', 'in-patient care', 'day care', 'surgical interventions', 'AYUSH Medical Practitioner', 'Clinical Establishments (Registration and Regulation) Act 2010', 'Schedule of Section 56(1)', 'minimum criteria', 'i']",high Coverage,Health,3
C1049,"Having qualified registered AYUSH Medical Practitioner(s) in charge i) has qualified nursing staff under its employment round the clock;
ii.",Staffing Requirements,Staff Qualifications,Medium,This clause pertains to the qualifications of the medical staff in an AYUSH facility.,"['AYUSH Medical Practitioner(s)', 'qualified nursing staff', 'employment', 'round the clock']",high Coverage,Health,3
C1050,"Having dedicated AYUSH therapy sections as required and/or has equipped ii) has at least 10 in-patient beds in towns having a population of less than 10,00,000 and
operation theatre where surgical procedures are to be carried out at least 15 in-patient beds in all other places;
iii.",Coverage,Facility Requirements,Medium,This clause specifies the minimum number of in-patient beds required for AYUSH therapy sections and operation theatres in different population areas.,"['AYUSH therapy sections', 'in-patient beds', 'population', 'operation theatre', 'surgical procedures']",high Coverage,Health,3
C1051,"Maintaining daily records of the patients and making them accessible to the insurance iii) has qualified medical practitioner(s) in charge round the clock;
company's authorized representative
iv) has a fully equipped operation theatre of its own where surgical procedures are
Cashless facility: Cashless facility means a facility extended by the insurer to the insured carried out;
where the payments, of the costs of treatment undergone by the insured in accordance v) maintains daily records of patients and makes these accessible to the insurance
with the policy terms and conditions, are directly made to the network provider by the company's authorized personnel;
insurer to the extent pre-authorization is approved.",Coverage,Facility Requirements,Medium,This clause describes the facilities required for the hospital to be eligible for cashless treatment under the insurance policy.,"['cashless facility', 'qualified medical practitioner', ""company's authorized representative"", 'operation theatre', 'daily records']",high Coverage,Health,3
C1052,"Hospitalization: Hospitalization means admission in a Hospital for a minimum period of
Condition Precedent: Condition Precedent means a policy term or condition upon which 24 consecutive 'In-patient Care' hours except for specified procedures/ treatments, where
the Insurer's liability under the policy is conditional upon.",Coverage,Hospitalization,Medium,This clause defines the term 'Hospitalization' and the condition precedent for the insurer's liability under the policy.,"['Hospitalization', 'Condition Precedent', ""Insurer's liability"", 'In-patient Care', '24 consecutive hours']",high Coverage,Health,3
C1053,such admission could be for a period of less than 24 consecutive hours.,Coverage,Duration of Stay,Low,This clause pertains to the duration of hospital stay covered under the policy.,"['admission', '24 consecutive hours']",moderate Coverage,Health,2
C1054,"Congenital Anomaly: Congenital Anomaly means a condition which is present since birth, Illness: Illness means a sickness or a disease or pathological condition leading to the
and which is abnormal with reference to form, structure or position; impairment of normal physiological function and requires medical treatment;
a) Internal Congenital Anomaly: Congenital anomaly which is not in the visible and (a) Acute condition - Acute condition is a disease, illness or injury that is likely to respond
accessible parts of the body quickly to treatment which aims to return the person to his or her state of health
b) External Congenital Anomaly: Congenital anomaly which is in the visible and immediately before suffering the disease/ illness/ injury which leads to full recovery
accessible parts of the body (b) Chronic condition - A chronic condition is defined as a disease, illness, or injury that
has one or more of the following characteristics;
Co-Payment: Co-payment means a cost sharing requirement under a health insurance
1.",Coverage,Pre-existing Conditions,High,"This clause defines the terms 'Congenital Anomaly', 'Illness', 'Acute condition', and 'Chronic condition' in the context of health insurance coverage.","['Congenital Anomaly', 'Illness', 'Acute condition', 'Chronic condition', 'Co-payment']",high Coverage,Health,3
C1055,"It needs ongoing or long-term monitoring through consultations, examinations,
policy that provides that the policyholder/insured will bear a specified percentage of the
check-ups, and /or tests
admissible claims amount.",Coverage,Cost-Sharing,Medium,This clause pertains to the policyholder/insured's obligation to bear a specified percentage of the costs for check-ups and tests.,"['ongoing or long-term monitoring', 'check-ups', 'tests', 'specified percentage']",high Coverage,Health,3
C1056,A co-payment does not reduce the Sum Insured.,Coverage,Sum Insured,Low,This clause explains that a co-payment does not affect the total amount of insurance coverage (Sum Insured) provided.,"['Co-payment', 'Sum Insured']",low Coverage,Health,1
C1057,"2. it needs ongoing or long-term control or relief of symptoms
Cumulative Bonus: Cumulative Bonus means any increase or addition in the Sum 3. it requires rehabilitation for the patient or for the patient to be specially trained to
Insured granted by the insurer without an associated increase in premium.",Coverage,Conditions for Coverage,Medium,"This clause describes the conditions for coverage related to ongoing or long-term control or relief of symptoms, rehabilitation, and special training for the patient.","['ongoing or long-term control', 'relief of symptoms', 'rehabilitation', 'specially trained', 'Cumulative Bonus']",high Coverage,Health,3
C1058,"cope with it
Day Care Centre: A day care centre means any institution established for day care 4. it continues indefinitely
treatment of illness and/or injuries or a medical setup with a hospital and which has been 5. it recurs or is likely to recur
Family Health Optima Insurance Plan Unique Identification No.",Coverage,Day Care Centre,Low,"The clause defines what a day care centre is for the purpose of health insurance, specifying its continuity and association with a hospital.","['Day Care Centre', 'institution', 'day care', 'treatment of illness and/or injuries', 'hospital', 'continues indefinitely', 'recurs or is likely to recur']",moderate Coverage,Health,2
C1059,"Injury: Injury means accidental physical bodily harm excluding illness or disease solely Renewal: Renewal means the terms on which the contract of insurance can be renewed
and directly caused by external, violent, visible and evident means which is verified and on mutual consent with a provision of grace period for treating the renewal continuous for
certified by a Medical Practitioner.",Coverage,Injury Definition,High,"The clause defines the term 'Injury' as 'accidental physical bodily harm excluding illness or disease, directly caused by external, violent, visible and evident means which is verified and on mutual consent with a provision of grace period for treating'","['Injury', 'accidental physical bodily harm', 'excluding illness or disease', 'renewal', 'external', 'violent', 'visible and evident', 'mutual consent', 'grace period', 'Medical Practitioner']",high Coverage,Health,3
C1060,"the purpose of gaining credit for pre-existing diseases, time-bound exclusions and for all
waiting periods.",Exclusion,Pre-existing Conditions,High,"This clause pertains to the exclusion of coverage for pre-existing diseases, time-bound exclusions, and waiting periods.","['pre-existing diseases', 'time-bound exclusions', 'waiting periods']",high Exclusion,Health,3
C1061,"Inpatient Care: Inpatient care means treatment for which the insured person has to stay in
a hospital for more than 24 hours for a covered event.",Coverage,Inpatient Care,Low,No specific vulnerability or ambiguity found.,"['Inpatient care', 'treatment', 'hospital', 'more than 24 hours', 'covered event']",low Coverage,Health,1
C1062,"Room Rent: Room Rent means the amount charged by a Hospital towards Room and
Boarding expenses and shall include the associated medical expenses.",Coverage,Charges,Medium,"This clause explains the definition of Room Rent, which includes room and boarding expenses and associated medical expenses.","['Room Rent', 'Room', 'Boarding expenses', 'Medical expenses']",high Coverage,Health,3
